timestr,time,open,close,low,high,volumefrom,volumeto
2022-02-05 02:00:00,1644026400,36087,36157.75,36007.3,36225.5,76.52,2764714.75
2022-02-05 01:00:00,1644022800,36273.27,36087,36028.96,36314.87,151.14,5466957.73
2022-02-05 00:00:00,1644019200,36318.47,36273.27,36159.17,36617.75,485.67,17669539.79
2022-02-04 23:00:00,1644015600,35526.9,36318.47,35470.14,36445.64,533.63,19217932.31
2022-02-04 22:00:00,1644012000,35492.49,35526.9,35313.24,35532.41,179.95,6376550.87
2022-02-04 21:00:00,1644008400,35445.74,35492.49,35332.27,35493.72,184.91,6547119.89
2022-02-04 20:00:00,1644004800,35604.03,35445.74,35346.75,35725.57,372.69,13246935.8
2022-02-04 19:00:00,1644001200,35358.2,35604.03,35280.35,35707.57,403.52,14313487.25
2022-02-04 18:00:00,1643997600,35406.7,35358.2,35193.43,35508.71,376.13,13283538.38
2022-02-04 17:00:00,1643994000,35191.06,35406.7,35109.77,35416.01,602.85,21246737.37
2022-02-04 16:00:00,1643990400,34531.62,35191.06,34509,35422.48,1280.84,44895201.16
2022-02-04 15:00:00,1643986800,33242.36,34531.62,33201.82,34800.43,1912.46,65573317.88
2022-02-04 14:00:00,1643983200,32759.08,33242.36,32667.19,33249.22,699.57,23076134.81
2022-02-04 13:00:00,1643979600,33125.88,32759.08,32731.39,33315.32,672.11,22163264.61
2022-02-04 12:00:00,1643976000,32983.75,33125.88,32981.76,33180.15,223,7383033.69
2022-02-04 11:00:00,1643972400,33089.58,32983.75,32982.74,33131.15,186.98,6183236.36
2022-02-04 10:00:00,1643968800,33214.77,33089.58,33000.84,33363.9,291.38,9660893.28
2022-02-04 09:00:00,1643965200,33161.26,33214.77,33127.41,33297.63,261.68,8687059.35
2022-02-04 08:00:00,1643961600,33062.26,33158.39,32774.53,33331.77,8623.78,285950643.3
2022-02-04 07:00:00,1643958000,33203.21,33054.83,33045.62,33361.72,320.09,10618751.28
2022-02-04 06:00:00,1643954400,32802.74,33203.21,32799.05,33209.43,394.49,13045512.68
2022-02-04 05:00:00,1643950800,32577.55,32802.74,32554.27,32904.57,544.43,17836988.61
2022-02-04 04:00:00,1643947200,32598.01,32577.55,32548.07,32633.74,321.1,10466197.98
2022-02-04 03:00:00,1643943600,32620.42,32598.01,32581.61,32680.79,287.73,9393453.51
2022-02-04 02:00:00,1643940000,32509.86,32620.42,32495.95,32718.85,401.89,13106635.08
2022-02-04 01:00:00,1643936400,32534.27,32509.86,32390.18,32534.29,359.12,11665277.92
2022-02-04 00:00:00,1643932800,32646.44,32534.27,32493.17,32664.52,375.94,12234511.47
2022-02-03 23:00:00,1643929200,32325.81,32646.44,32279.18,32739.77,313.66,10177431.85
2022-02-03 22:00:00,1643925600,32324.92,32325.81,32225.83,32370.18,92.97,3002053.49
2022-02-03 21:00:00,1643922000,31810.96,32324.92,31810.96,32406.77,366.52,11795514.35
2022-02-03 20:00:00,1643918400,31998.38,31810.96,31758.32,32062.26,250.09,7978126.31
2022-02-03 19:00:00,1643914800,32178.3,31998.38,31925.72,32219.69,256.45,8214383.99
2022-02-03 18:00:00,1643911200,32226.02,32178.3,32137.63,32246.2,184.32,5931542.71
2022-02-03 17:00:00,1643907600,32171.88,32226.02,32023.43,32284.62,300.07,9646539.65
2022-02-03 16:00:00,1643904000,32377.9,32171.88,32171.88,32520.95,411.34,13304440.09
2022-02-03 15:00:00,1643900400,32089.51,32377.9,32052,32444.97,492.74,15910209.51
2022-02-03 14:00:00,1643896800,32240.16,32089.51,32064.02,32326.52,688.68,22164078.57
2022-02-03 13:00:00,1643893200,32516.76,32240.16,32153.79,32596.87,604.5,19589068.82
2022-02-03 12:00:00,1643889600,32631.54,32516.76,32133.97,32638.51,509.59,16495174.78
2022-02-03 11:00:00,1643886000,32290.61,32631.54,32211.11,32639.48,350.99,11383696.7
2022-02-03 10:00:00,1643882400,32493,32290.61,32192.93,32509.81,506.22,16350826.42
2022-02-03 09:00:00,1643878800,32863.66,32493,32471.57,32873.61,265.35,8680700.88
2022-02-03 08:00:00,1643875200,32843.02,32863.66,32801.41,32904.52,296.17,9731850.99
2022-02-03 07:00:00,1643871600,32755.17,32843.02,32751.17,32903.8,368.83,12112445.6
2022-02-03 06:00:00,1643868000,32797.12,32755.17,32679.66,32804.46,492.39,16128329.67
2022-02-03 05:00:00,1643864400,32703.62,32797.12,32656.1,32849.71,457.47,14992661.37
